gene,slope_z,r,p,n_cells_expr
Gpr88,0.05413175949799665,0.05591497004324708,0.42019708129695255,210
Cdc14a,-0.026178114250277048,-0.019337897477603866,0.11219834963986793,6748
Rtcd1,0.026686559765432015,0.025282272083888817,0.00010700528723994584,23476
Dbt,-0.018483355476738746,-0.018762923603465993,0.026827327595838116,13924
Lrrc39,-0.02042596001156915,-0.019186204360301145,0.6087775713084693,714
Ccdc76,0.03968853283143949,0.038729087775761006,0.01894409134397427,3671
Sass6,0.02524922075999201,0.029713766924847975,0.010302118015802775,7454
Hiat1,0.01614201150202293,0.017880918525740662,0.0005882575528592091,36943
Slc35a3,-0.018262148750498523,-0.014345971375202509,0.2917846165309012,5402
Agl,0.00577292358036912,0.00597134859360681,0.5154317676125868,11866
Frrs1,0.012292443786252907,0.014428661671401553,0.05448853679258622,17762
Palmd,0.1789902180663295,0.15295414505552654,1.8087608558013066e-81,15441
4930455H04Rik,0.04117657800037468,0.04666652746478601,0.8366187143531469,22
1700061I17Rik,0.05708438588984247,0.06727891901427303,0.5716988559026583,73
D3Bwg0562e,0.12839558325862332,0.13087057057059984,2.893981085900748e-07,1526
4833424O15Rik,0.016588151573580984,0.01608632557772878,0.7839353428912883,293
Snx7,-0.0066161578708002124,-0.00562155642646773,0.4761326047391983,16068
Dpyd,-0.10342902812621338,-0.060956551592793444,1.6247803350612116e-05,4995
Ptbp2,0.05459462791240476,0.05886563478828762,3.50636012787414e-09,10051
Rwdd3,0.025478602502722367,0.022101947658478224,0.3446805498938772,1830
Tmem56,-0.0055736836347880635,-0.003762386392565158,0.7602262224789118,6582
Alg14,0.08496809642860848,0.09075712741648928,3.073693675906097e-23,11925
Cnn3,0.043318596214759364,0.04252642293393159,9.7344250161136e-21,48184
Slc44a3,0.008375915319394108,0.006714786152693918,0.7001445974471541,3292
A730020M07Rik,-0.009062146482221239,-0.011466123544837241,0.8009384615168893,486
F3,0.017699305891242252,0.022739602259453907,0.003741623200355711,16253
Abcd3,0.09126036329027226,0.0749347582578793,4.2621887598835467e-38,29574
Arhgap29,0.11464269845077234,0.09381369361761731,2.9009185143594567e-30,14786
Abca4,-0.01579758693918465,-0.018762291298105978,0.6534573164435125,575
Gclm,-0.0002875215781841883,-0.0002580267430822197,0.9651108160648959,28740
