gene,slope_z,r,p,n_cells_expr,gene_symbol,biotype
ENSG00000135116,0.0015106319455703,0.0026252456802931,0.8759909252480678,3536,HRK,protein-coding
ENSG00000273703,-4.677178515898111e-06,-1.3448410695592688e-05,0.9993623379278436,3534,H2BC14,protein-coding
ENSG00000179914,-0.0162363703552885,-0.007872467266489,0.6400412817408485,3531,ITLN1,protein-coding
ENSG00000180347,-0.0118156151223744,-0.0283280691282707,0.0925023856664509,3528,ITPRID1,protein-coding
ENSG00000116981,0.0317022916978542,0.0571861438690716,0.0006781568926381,3528,NT5C1A,protein-coding
ENSG00000153060,-0.0199630150515813,-0.0284614445528281,0.0910227612221207,3527,TEKT5,protein-coding
ENSG00000181374,-0.0151957223310849,-0.0310312521568219,0.0654504781348379,3525,CCL13,protein-coding
ENSG00000143994,-0.0154569505953565,-0.0274889053619802,0.1028208094028878,3523,ABHD1,protein-coding
ENSG00000285292,0.0280040523603304,0.0429629008661343,0.0107732953477093,3522,ABCF2-H2BK1,protein-coding
ENSG00000221882,-0.0248736282092276,-0.0379277571588043,0.0244128844440316,3521,OR3A2,protein-coding
ENSG00000203872,-0.0303937472254385,-0.0509861654877066,0.0024826205333791,3519,C6orf163,protein-coding
ENSG00000259431,-0.0123197337123385,-0.0337344513488069,0.0455124760077488,3515,THTPA,protein-coding
ENSG00000149534,-0.0024673903142726,-0.0027756349926817,0.8694096720794984,3511,MS4A2,protein-coding
ENSG00000168913,-0.0036197869320967,-0.0057789276523568,0.7321957590129949,3509,ENHO,protein-coding
ENSG00000175820,0.0069567875764614,0.0113186823786598,0.5029324745910839,3505,LRTM3,protein-coding
ENSG00000170099,-0.0066238607551526,-0.0119305447555164,0.4801900620941945,3504,SERPINA6,protein-coding
ENSG00000276076,-0.0103924928513051,-0.0175531458607643,0.2992613371869386,3499,LOC102724652,protein-coding
ENSG00000197935,-0.0097164490077598,-0.0198093306442126,0.241614064032461,3496,ZNF311,protein-coding
ENSG00000117600,-0.0022900921974158,-0.0029609183384026,0.8611521420016056,3492,PLPPR4,protein-coding
ENSG00000166596,0.0058996928597696,0.0089688573130004,0.596395459578771,3489,CFAP52,protein-coding
ENSG00000175206,-0.0027074802208823,-0.0033748838394247,0.8421586965699477,3484,NPPA,protein-coding
ENSG00000182890,0.0264680523728943,0.0592793619114495,0.0004638424491121,3484,GLUD2,protein-coding
ENSG00000175664,0.1009331486771027,0.0731400817989469,1.5770789616714682e-05,3478,TEX26,protein-coding
ENSG00000205832,-0.0213464072816889,-0.0276262257606982,0.1034683173426368,3475,C16orf96,protein-coding
ENSG00000188282,-0.0397374036972118,-0.0490702188020027,0.0038267742872185,3472,RUFY4,protein-coding
ENSG00000179639,0.0030832597256934,0.0050185420239316,0.7676609195558316,3468,FCER1A,protein-coding
ENSG00000114487,0.0036996547737823,0.0063197046441111,0.7101065207492532,3462,MORC1,protein-coding
ENSG00000092067,-0.0565501257771111,-0.0885534465589595,1.801362951454392e-07,3462,CEBPE,protein-coding
ENSG00000285043,0.0078752980706733,0.0189923936633517,0.2640528331024133,3460,LOC112694756,protein-coding
ENSG00000151834,0.0081779640249035,0.013723490169942,0.419876198723159,3457,GABRA2,protein-coding
ENSG00000185958,-0.0128788614353186,-0.0226629858212203,0.1831789601067966,3451,FAM186A,protein-coding
ENSG00000198739,0.0073619830282978,0.0104969893034868,0.5380163034784738,3444,LRRTM3,protein-coding
ENSG00000188175,-0.0511767647177098,-0.0283940092711113,0.0957515663351211,3443,HEPACAM2,protein-coding
ENSG00000185873,0.0582714210601707,0.057895272992192,0.0006769628556225,3443,TMPRSS11B,protein-coding
ENSG00000235961,-0.016828624755806,-0.0377865995163876,0.0266980194740217,3439,PNMA6A,protein-coding
