gene,slope_z,r,p,n_cells_expr
ENSG00000159708,0.003925570183354465,0.005200275280445339,0.6196567549687013,9112
ENSG00000159712,-0.005504523344923372,-0.009826020453667463,0.5225959754442435,4236
ENSG00000159713,-0.007843065666594701,-0.009296689199426148,0.20157422389734775,18872
ENSG00000159714,-0.006350702880293752,-0.010054317360361636,0.09299805922939969,27914
ENSG00000159720,-0.018112797234100753,-0.024624837817788056,1.8480988559986302e-28,201862
ENSG00000159723,0.004791161874564213,0.007962539754295749,0.5146579317935832,6699
ENSG00000159733,-0.025610278790549133,-0.039696960458489326,1.3624197760267102e-27,75127
ENSG00000159753,-0.022675220751106607,-0.04197152166904971,9.785314351600821e-08,16119
ENSG00000159761,0.0009774629153609386,0.001205974428219094,0.8905147201253382,13031
ENSG00000159763,-0.0067854407588264455,-0.035913343820864224,5.977520168381841e-06,15883
ENSG00000159784,-0.008926641708872767,-0.018219792419897705,0.5342504044669636,1166
ENSG00000159788,0.01625449616692684,0.023896442264331547,1.7521736024335424e-12,87088
ENSG00000159792,-0.014677489555844928,-0.01929244676169933,0.00011526815167468195,39943
ENSG00000159840,-0.019110799962006535,-0.02668099988393659,6.93806233294526e-28,168254
ENSG00000159842,-0.020149263710964364,-0.02679479015066282,8.32681381099972e-32,191776
ENSG00000159860,0.00802720965749845,0.014073943071170072,0.5630304498667174,1691
ENSG00000159871,-0.005676085059197888,-0.007861137656064974,0.5228764339549871,6608
ENSG00000159873,-0.004022551815182553,-0.004885789816186789,0.16387574414945877,81192
ENSG00000159882,-0.026301184878069706,-0.037230075862570926,2.853898481313039e-07,18997
ENSG00000159884,-0.02354543633771772,-0.03400931475882451,3.6319380795406895e-36,136252
ENSG00000159885,-0.014731866161923077,-0.02332462603609105,0.029898799769615444,8667
ENSG00000159899,0.012340198487817323,0.014739818753482072,0.10996400612924694,11760
ENSG00000159904,-0.006555406332453464,-0.010398664258686957,0.6179413450878519,2303
ENSG00000159905,0.008796944216038726,0.013904717121584163,0.3589951351676193,4354
ENSG00000159915,-0.004169193301972844,-0.0065187285464570355,0.6786054181574359,4043
ENSG00000159917,-0.014809109311843833,-0.02102190466432136,2.520726291757542e-06,50115
ENSG00000159921,-0.01684995535811359,-0.023641755280062668,1.5342129448899674e-11,81367
ENSG00000159958,0.004365849556421088,0.005998574311293304,0.1911218762929288,47495
ENSG00000159961,-0.0018012550969139195,-0.0032509693206140304,0.9268965231550934,799
ENSG00000160007,-0.019301453994743156,-0.026640942405757772,1.4098486901865093e-24,147491
ENSG00000160013,-0.027339804259045312,-0.03297595679461187,1.95316383134681e-05,16762
ENSG00000160014,-0.022754671112740106,-0.030480369875935314,1.4591833564426008e-41,196227
ENSG00000160049,-0.017500336664118998,-0.026182927604159682,4.670780297142679e-16,96142
ENSG00000160050,-0.010455294233009923,-0.014631920102936192,0.026080359252720006,23124
ENSG00000160051,-0.015412189673023597,-0.025182067151477923,0.08577717187857878,4656
ENSG00000160055,-0.021121441733648435,-0.03408127375773756,4.635183562209559e-09,29547
ENSG00000160058,-0.02442300504102168,-0.03359419567362827,8.39439340685319e-38,146274
ENSG00000160062,-0.0014052447248314316,-0.0020229773075390433,0.7481420151308076,25195
ENSG00000160072,-0.014705236557282264,-0.02203517959375346,1.5120803913773862e-06,47633
ENSG00000160075,-0.02832185397950251,-0.03781231877749382,4.933496630500834e-74,231573
ENSG00000160087,-0.02503349927027865,-0.035679321886871555,2.1864443957171217e-35,120988
ENSG00000160094,-0.014278309760193477,-0.019324753223594233,5.283104689495674e-06,55507
ENSG00000160097,0.04023113159150739,0.044386224347245214,0.0002611550498151451,6762
ENSG00000160111,-0.027705308768369533,-0.04112970257675675,1.8432310172488796e-08,18698
ENSG00000160113,-0.014556596714771906,-0.026091336667802865,2.8505629494135442e-11,65021
ENSG00000160117,0.007102928969909063,0.011348014658883668,0.5322849012243578,3031
