gene,slope_z,r,p,n_cells_expr,gene_symbol
ENSG00000268174,0.0,0.0,1.0,46,BNIP3P22
ENSG00000282921,0.0,0.0,1.0,46,CFTRP2
ENSG00000271115,0.0,0.0,1.0,46,EIF2S2P7
ENSG00000260726,0.0,0.0,1.0,46,KLF8P1
ENSG00000225003,0.0,0.0,1.0,46,OR51A5P
ENSG00000225846,-0.0339451810305449,-0.0923227979687748,0.5417049158562841,46,RPL36P8
ENSG00000171942,0.0,0.0,1.0,46,OR10H2
ENSG00000197468,0.0,0.0,1.0,46,OR7E85BP
ENSG00000239684,0.0728435099637477,0.1203953398698706,0.4254545195689998,46,PTGER4P3
ENSG00000188314,0.0,0.0,1.0,46,OR7D1P
ENSG00000253124,-0.0082866105668653,-0.0586165894979196,0.6987939083049313,46,TRAPPC2P2
ENSG00000254832,0.0679926249122574,0.0983643594239889,0.5154599943970353,46,OR4A40P
ENSG00000226670,0.0,0.0,1.0,46,BCAS2P3
ENSG00000227758,0.0964425004477832,0.104670134955372,0.4887642709077764,46,HCG9P5
ENSG00000224439,0.0,0.0,1.0,46,RPSAP10
ENSG00000254724,0.0,0.0,1.0,46,OR7E10P
ENSG00000252329,0.0,0.0,1.0,46,LOC124900312
ENSG00000242998,0.0,0.0,1.0,46,RN7SL379P
ENSG00000188668,0.0603079565715758,0.0947247633803513,0.5311940012358662,46,OR7E90P
ENSG00000223269,0.0,0.0,1.0,46,RN7SKP53
ENSG00000243641,0.0,0.0,1.0,46,OR13C7
ENSG00000251907,0.0,0.0,1.0,46,RNU6-240P
ENSG00000169488,0.0,0.0,1.0,46,OR4K15
ENSG00000249851,-0.0005496057120945,-0.0082223033291459,0.9567499084032236,46,RPS27AP18
ENSG00000249557,0.0,0.0,1.0,46,HSPD1P15
ENSG00000222327,-0.0179901417771466,-0.0690320182011158,0.6484925609951419,46,RNU6-855P
ENSG00000228820,-0.0076208663437092,-0.0615473149402071,0.6844988285710905,46,RPSAP1
ENSG00000226483,0.0,0.0,1.0,46,RPL7L1P21
ENSG00000177186,0.0,0.0,1.0,46,OR2M7
ENSG00000223309,-0.055976358965642,-0.0542189218353554,0.7204376860847324,46,RNU6-722P
ENSG00000228823,0.0,0.0,1.0,46,PDE4DIPP10
ENSG00000252218,0.0,0.0,1.0,46,LOC124900224
ENSG00000250105,-0.0120598016488468,-0.1249146053473688,0.4081558803412971,46,ACTN3-AS1
ENSG00000254895,0.0477479402857449,0.058208647947716,0.7007920453610814,46,MTCO3P15
ENSG00000249200,0.0,0.0,1.0,46,LOC100419960
ENSG00000225066,0.0,0.0,1.0,46,MDM4P1
ENSG00000250464,0.0,0.0,1.0,46,LRRC34P2
ENSG00000255853,0.0,0.0,1.0,46,LOC100421201
ENSG00000250693,0.0,0.0,1.0,46,RPF2P2
ENSG00000253423,0.0,0.0,1.0,46,LOC100533622
ENSG00000229865,0.0,0.0,1.0,46,RPL31P54
ENSG00000240128,0.0,0.0,1.0,46,KRT18P43
ENSG00000255352,0.0,0.0,1.0,46,PPP1R10P1
ENSG00000244662,0.0,0.0,1.0,46,RPL21P102
ENSG00000222747,0.0,0.0,1.0,46,RNA5SP25
ENSG00000225147,0.0188901127428434,0.0345436086864979,0.8197189982556204,46,RPS12P10
ENSG00000251040,0.0,0.0,1.0,46,LINC02480
ENSG00000255230,0.0301753031569292,0.0498701206113754,0.7420558596654223,46,VPS51P17
ENSG00000255223,0.0,0.0,1.0,46,OR5M11
ENSG00000227491,0.0,0.0,1.0,46,CCNJP1
ENSG00000226960,0.0,0.0,1.0,46,MTCO1P21
ENSG00000229708,0.0,0.0,1.0,46,MARK2P12
ENSG00000229280,0.0,0.0,1.0,46,EEF1DP6
ENSG00000243792,0.0,0.0,1.0,46,OR7E89P
ENSG00000198975,0.0,0.0,1.0,46,MIRLET7A2
ENSG00000177400,0.0,0.0,1.0,46,OR7E8P
