NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS	GOBP_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS		22	0.19408938	1.0889051	0.3164557	0.59628975	1.0	10645	tags=77%, list=58%, signal=183%	
GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER	GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER		15	0.23490788	1.0885551	0.34136546	0.5963356	1.0	7943	tags=67%, list=43%, signal=117%	
GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY	GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY		231	0.061879955	1.0884228	0.33195877	0.5959889	1.0	11534	tags=69%, list=63%, signal=182%	
GOBP_VITAMIN_D_METABOLIC_PROCESS	GOBP_VITAMIN_D_METABOLIC_PROCESS		21	0.19504109	1.0881687	0.336	0.59588724	1.0	7801	tags=62%, list=42%, signal=107%	
GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY		98	0.0935799	1.0879296	0.3426295	0.5957728	1.0	6169	tags=43%, list=34%, signal=64%	
GOBP_TISSUE_REGENERATION	GOBP_TISSUE_REGENERATION		81	0.1006183	1.0873057	0.32673267	0.5964255	1.0	8828	tags=58%, list=48%, signal=111%	
GOBP_RESPONSE_TO_GONADOTROPIN	GOBP_RESPONSE_TO_GONADOTROPIN		28	0.17134418	1.0871501	0.32525253	0.5961209	1.0	2764	tags=32%, list=15%, signal=38%	
GOBP_BLASTODERM_SEGMENTATION	GOBP_BLASTODERM_SEGMENTATION		23	0.19582261	1.0865875	0.3210634	0.5965557	1.0	2799	tags=35%, list=15%, signal=41%	
GOBP_ESTROGEN_METABOLIC_PROCESS	GOBP_ESTROGEN_METABOLIC_PROCESS		39	0.14183602	1.0864865	0.3056133	0.5961697	1.0	8242	tags=59%, list=45%, signal=107%	
GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE	GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE		25	0.18162256	1.0855327	0.34747475	0.5973385	1.0	5491	tags=48%, list=30%, signal=68%	
GOBP_REGULATION_OF_MIRNA_METABOLIC_PROCESS	GOBP_REGULATION_OF_MIRNA_METABOLIC_PROCESS		87	0.10043091	1.0851611	0.34475806	0.59745735	1.0	5348	tags=39%, list=29%, signal=55%	
GOBP_FC_EPSILON_RECEPTOR_SIGNALING_PATHWAY	GOBP_FC_EPSILON_RECEPTOR_SIGNALING_PATHWAY		25	0.18041164	1.0848142	0.32371134	0.5974981	1.0	12134	tags=84%, list=66%, signal=247%	
GOBP_POSITIVE_REGULATION_OF_CILIUM_ASSEMBLY	GOBP_POSITIVE_REGULATION_OF_CILIUM_ASSEMBLY		29	0.16518559	1.0847709	0.3432836	0.59699345	1.0	12186	tags=83%, list=66%, signal=245%	
GOBP_PROTEIN_IMPORT_INTO_PEROXISOME_MATRIX	GOBP_PROTEIN_IMPORT_INTO_PEROXISOME_MATRIX		15	0.23443626	1.0843443	0.3416149	0.5971903	1.0	14082	tags=100%, list=77%, signal=426%	
GOBP_NEGATIVE_REGULATION_OF_TRANSLATIONAL_INITIATION	GOBP_NEGATIVE_REGULATION_OF_TRANSLATIONAL_INITIATION		25	0.18089731	1.0833523	0.3427992	0.5984512	1.0	14332	tags=96%, list=78%, signal=434%	
GOBP_REGULATION_OF_P38MAPK_CASCADE	GOBP_REGULATION_OF_P38MAPK_CASCADE		41	0.14395958	1.0829766	0.35957447	0.59855646	1.0	5880	tags=46%, list=32%, signal=68%	
GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA		276	0.057291977	1.082865	0.34560326	0.5981438	1.0	6091	tags=39%, list=33%, signal=57%	
GOBP_SEGMENTATION	GOBP_SEGMENTATION		100	0.091190204	1.082221	0.348643	0.5987444	1.0	8630	tags=56%, list=47%, signal=105%	
GOBP_RECEPTOR_CATABOLIC_PROCESS	GOBP_RECEPTOR_CATABOLIC_PROCESS		30	0.16550665	1.0817721	0.35151514	0.5990138	1.0	12899	tags=87%, list=70%, signal=290%	
GOBP_STRIATED_MUSCLE_CONTRACTION	GOBP_STRIATED_MUSCLE_CONTRACTION		196	0.065332755	1.0816479	0.32388663	0.5986672	1.0	4534	tags=31%, list=25%, signal=41%	
GOBP_NEGATIVE_REGULATION_OF_DNA_REPLICATION	GOBP_NEGATIVE_REGULATION_OF_DNA_REPLICATION		23	0.18711655	1.0810533	0.35211268	0.59920245	1.0	10955	tags=78%, list=60%, signal=193%	
GOBP_PROTEIN_LOCALIZATION_TO_POSTSYNAPSE	GOBP_PROTEIN_LOCALIZATION_TO_POSTSYNAPSE		57	0.121764004	1.0800095	0.3446215	0.6005817	1.0	8414	tags=58%, list=46%, signal=106%	
GOBP_CARDIAC_CHAMBER_DEVELOPMENT	GOBP_CARDIAC_CHAMBER_DEVELOPMENT		175	0.06862851	1.0790324	0.3443299	0.60181516	1.0	8102	tags=51%, list=44%, signal=90%	
GOBP_DENDRITE_DEVELOPMENT	GOBP_DENDRITE_DEVELOPMENT		238	0.059677426	1.0785432	0.3423077	0.60217667	1.0	9193	tags=56%, list=50%, signal=110%	
GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS	GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS		24	0.17809342	1.078043	0.35968378	0.6024648	1.0	2092	tags=29%, list=11%, signal=33%	
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_DIFFERENTIATION		16	0.22471088	1.0774792	0.34661356	0.60297006	1.0	3916	tags=44%, list=21%, signal=56%	
GOBP_NEGATIVE_REGULATION_OF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORT	GOBP_NEGATIVE_REGULATION_OF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORT		19	0.20436706	1.0766116	0.36272544	0.60398126	1.0	3020	tags=37%, list=16%, signal=44%	
GOBP_RESPONSE_TO_FATTY_ACID	GOBP_RESPONSE_TO_FATTY_ACID		60	0.11957069	1.0760499	0.3529412	0.60441494	1.0	4244	tags=35%, list=23%, signal=45%	
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION		55	0.122110486	1.0758519	0.34274194	0.60420364	1.0	4782	tags=38%, list=26%, signal=51%	
GOBP_HINDBRAIN_MORPHOGENESIS	GOBP_HINDBRAIN_MORPHOGENESIS		46	0.13090643	1.0754117	0.34268537	0.6044011	1.0	4794	tags=39%, list=26%, signal=53%	
GOBP_NEUTRAL_AMINO_ACID_TRANSPORT	GOBP_NEUTRAL_AMINO_ACID_TRANSPORT		59	0.11701775	1.0747954	0.34016395	0.6050489	1.0	12816	tags=81%, list=70%, signal=268%	
GOBP_POSITIVE_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL	GOBP_POSITIVE_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL		34	0.15711269	1.0741045	0.34758365	0.60573745	1.0	2524	tags=29%, list=14%, signal=34%	
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_VESICLE_FUSION_TO_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE	GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_VESICLE_FUSION_TO_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE		15	0.2236976	1.0736336	0.34920636	0.6059911	1.0	8149	tags=67%, list=44%, signal=120%	
GOBP_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT	GOBP_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT		25	0.17860395	1.07361	0.36039603	0.6054385	1.0	8489	tags=64%, list=46%, signal=119%	
